Date,Open,High,Low,Close
2023-03-17,82.4725,82.6005,82.4195,82.5762
2023-03-20,82.5025,82.7185,82.4825,82.5955
2023-03-21,82.6455,82.7045,82.6275,82.6512
2023-03-22,82.6555,82.7365,82.6015,82.6505
2023-03-23,82.1425,82.3055,82.0755,82.2325
2023-03-24,82.2355,82.4905,82.2095,82.4562
2023-03-27,82.2985,82.4305,82.2985,82.37
2023-03-28,82.2275,82.2805,82.1685,82.2062
2023-03-29,82.2505,82.3815,82.2395,82.3245
2023-03-31,82.2005,82.2715,82.1525,82.2155
2023-04-03,82.4035,82.4365,82.3305,82.3325
2023-04-05,82.1575,82.2035,81.9155,82.0055
2023-04-06,81.8895,82.0575,81.8175,81.9025
2023-04-10,81.92,81.9925,81.89,81.9825
2023-04-11,82.0505,82.1505,82.0375,82.1225
2023-04-12,82.0875,82.1055,82.0215,82.0888
2023-04-13,81.9455,82.0125,81.8205,81.8462
2023-04-17,81.9675,81.9838,81.8665,81.9788
2023-04-18,82.0415,82.0875,81.9895,82.0455
2023-04-19,82.1245,82.2565,82.0655,82.2225
2023-04-20,82.1915,82.2145,82.1195,82.1555
